analyte_id,U_statistic,p_value,q_value,significant,median_group1,median_group2,fold_change,n_group1,n_group2,excluded
BCAT1,,,,False,-0.1842220760798037,,,44,0,True
BCAT2,,,,False,-0.0003299057625869,,,44,0,True
BCHE,,,,False,0.07953965644523886,,,44,0,True
BCL2,,,,False,-0.18079139623887,,,44,0,True
BCL2L1,,,,False,-0.5578649498773507,,,44,0,True
BCL2L15,,,,False,-0.3051697826682236,,,44,0,True
BCL7A,,,,False,-0.0900842400435985,,,44,0,True
BCL7B,,,,False,-0.03288999248505295,,,44,0,True
BCR,,,,False,-0.29868831423365566,,,44,0,True
BDNF,,,,False,0.04581267154391265,,,44,0,True
BECN1,,,,False,-0.5127356851933204,,,44,0,True
BEX3,,,,False,-0.02020900803895315,,,44,0,True
BGLAP,,,,False,-0.4903437911142565,,,44,0,True
BGN,,,,False,-0.5016488458561518,,,44,0,True
BHLHE40,,,,False,-0.2521216036926689,,,44,0,True
BHMT2,,,,False,0.01198598148167825,,,44,0,True
BIN2,,,,False,-0.00607965372151785,,,44,0,True
BLMH,,,,False,-0.11218893051617465,,,44,0,True
BLNK,,,,False,-0.0644421064392003,,,44,0,True
BLOC1S2,,,,False,-0.36312290527710067,,,44,0,True
BLOC1S3,,,,False,-0.1252580290739691,,,44,0,True
BLVRB,,,,False,-0.2737800864585249,,,44,0,True
BMP10,,,,False,0.1028296336089142,,,44,0,True
BMP4,,,,False,-0.0201602069544878,,,44,0,True
BMPER,,,,False,0.06315470610868196,,,44,0,True
BNIP2,,,,False,-0.3500536838664787,,,44,0,True
BNIP3L,,,,False,-0.3828171903463533,,,44,0,True
BOC,,,,False,0.0265313660628023,,,44,0,True
BOLA1,,,,False,-0.34264569915393306,,,44,0,True
BOLA2_BOLA2B,,,,False,-0.47161078679045193,,,44,0,True
BPIFA2,,,,False,-0.2670899233764956,,,44,0,True
BPIFB1,,,,False,-0.04401036229254815,,,44,0,True
BPIFB2,,,,False,-0.22979710534041486,,,44,0,True
BRAP,,,,False,-0.4408307935059856,,,44,0,True
BRD1,,,,False,0.10349327820879026,,,44,0,True
BRD2,,,,False,-0.20768070449919104,,,44,0,True
BRD3,,,,False,-0.12652377843197576,,,44,0,True
BRDT,,,,False,-0.10985295610458276,,,44,0,True
BRK1,,,,False,-0.04249991367192385,,,44,0,True
BRME1,,,,False,-0.11216328906273255,,,44,0,True
BRSK2,,,,False,-0.0786385899475541,,,44,0,True
BSG,,,,False,-0.131988423271621,,,44,0,True
BSND,,,,False,-0.14492597727970047,,,44,0,True
BST1,,,,False,-0.040698617087778347,,,44,0,True
BST2,,,,False,-0.2635749511329146,,,44,0,True
BTC,,,,False,-0.28099492951073674,,,44,0,True
BTD,,,,False,0.03248441055999905,,,44,0,True
BTLA,,,,False,-0.00773020075721315,,,44,0,True
BTN1A1,,,,False,-0.6166895694264162,,,44,0,True
BTN2A1,,,,False,-0.0842361155932785,,,44,0,True
BTN3A2,,,,False,-0.14923870713954365,,,44,0,True
BTNL10,,,,False,-0.0832933291902978,,,44,0,True
C19orf12,,,,False,-0.07016025561532174,,,44,0,True
C1GALT1C1,,,,False,-0.0627505423350075,,,44,0,True
C1QA,,,,False,-0.13098445244786575,,,44,0,True
C1QBP,,,,False,-0.1193616450464941,,,44,0,True
C1QL2,,,,False,-0.06907543409394,,,44,0,True
C1QTNF1,,,,False,-0.2274740909446321,,,44,0,True
C1QTNF5,,,,False,-0.14226296203349736,,,44,0,True
C1QTNF6,,,,False,-0.36173659302669825,,,44,0,True
C1QTNF9,,,,False,-0.0252848969945144,,,44,0,True
C1R,,,,False,-0.00314031834758035,,,44,0,True
C1RL,,,,False,-0.020938310989086648,,,44,0,True
C1S,,,,False,-0.00532275811857075,,,44,0,True
C2,,,,False,0.0095307824009472,,,44,0,True
C2CD2L,,,,False,-0.0663540119268235,,,44,0,True
C2orf69,,,,False,-0.3192365202894729,,,44,0,True
C3,,,,False,0.00658943047352665,,,44,0,True
C4BPB,,,,False,-0.2466387880917401,,,44,0,True
C5,,,,False,-0.016551833665242353,,,44,0,True
C7,,,,False,-0.13876402392049886,,,44,0,True
C7orf50,,,,False,-0.04462089661303225,,,44,0,True
C8B,,,,False,0.0114526380444231,,,44,0,True
C9,,,,False,-0.0345033963032994,,,44,0,True
C9orf40,,,,False,-0.4564902945393612,,,44,0,True
CA1,,,,False,-0.4378901254551726,,,44,0,True
CA11,,,,False,0.07033720684905115,,,44,0,True
CA12,,,,False,0.0411774819067521,,,44,0,True
CA13,,,,False,-0.294211214653285,,,44,0,True
CA14,,,,False,0.2334627619797482,,,44,0,True
CA2,,,,False,-0.6970956112361955,,,44,0,True
CA3,,,,False,-0.21796881969310217,,,44,0,True
CA4,,,,False,-0.018573033789540047,,,44,0,True
CA5A,,,,False,-0.2939688409070935,,,44,0,True
CA6,,,,False,-0.3745757137150749,,,44,0,True
CA7,,,,False,-0.019239552265271298,,,44,0,True
CA8,,,,False,0.028419721962598198,,,44,0,True
