| independent_var                                                                     | dependent_var                                               |          rho |    p_value |   sample_size_N |      FDR |
|                                                                                     | delayed_villous_maturation                                  |  0.00148051  | 0.989736   |              78 | 1        |
| Early Second Trimester_activities_-_summary_-_caloriesbmr                           | birthweight                                                 |  0.239555    | 0.0346523  |              78 | 0.966043 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse | -0.120689    | 0.292551   |              78 | 0.978627 |
|                                                                                     | chorangiosis                                                | -0.10808     | 0.34625    |              78 | 0.978627 |
|                                                                                     | increased_syncytial_knots                                   | -0.0964626   | 0.400829   |              78 | 0.978773 |
|                                                                                     | accelerated_villous_maturation                              | -0.0887317   | 0.4398     |              78 | 0.980905 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.0828613   | 0.470764   |              78 | 0.987746 |
|                                                                                     | gest_age_del                                                |  0.0424619   | 0.712034   |              78 | 0.999923 |
|                                                                                     | apgar_1                                                     | -0.0169123   | 0.88316    |              78 | 0.999923 |
|                                                                                     | apgar_5                                                     | -0.0479572   | 0.676716   |              78 | 0.999923 |
|                                                                                     | nicu_days                                                   | -0.0468486   | 0.683788   |              78 | 0.999923 |
|                                                                                     | placental_infarction                                        | -0.0253087   | 0.825912   |              78 | 0.999923 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     | -0.045811    | 0.690432   |              78 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.0288213   | 0.802212   |              78 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  | -0.0607027   | 0.597539   |              78 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  | -0.0488583   | 0.670988   |              78 | 0.999923 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          |  0.00759261  | 0.947398   |              78 | 0.999998 |
| Early Second Trimester_activities_-_summary_-_caloriesout                           | gest_age_del                                                |  0.178084    | 0.118784   |              78 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.281161    | 0.0126461  |              78 | 0.966043 |
|                                                                                     | accelerated_villous_maturation                              | -0.0830045   | 0.469994   |              78 | 0.987746 |
|                                                                                     | apgar_1                                                     |  0.0692798   | 0.546703   |              78 | 0.999923 |
|                                                                                     | apgar_5                                                     |  0.0687406   | 0.549835   |              78 | 0.999923 |
|                                                                                     | nicu_days                                                   | -0.024491    | 0.831453   |              78 | 0.999923 |
|                                                                                     | placental_infarction                                        |  0.0379619   | 0.741418   |              78 | 0.999923 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.0122704   | 0.915087   |              78 | 0.999923 |
|                                                                                     | increased_syncytial_knots                                   | -0.0413398   | 0.719324   |              78 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.0216153   | 0.851001   |              78 | 0.999923 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          | -0.0632698   | 0.582104   |              78 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  | -0.0458957   | 0.689889   |              78 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.0399737   | 0.728233   |              78 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse | -0.0432306   | 0.707055   |              78 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.039628    | 0.730493   |              78 | 0.999923 |
|                                                                                     | chorangiosis                                                | -0.0072051   | 0.950079   |              78 | 0.999998 |
