analyte_id,U_statistic,p_value,q_value,significant,median_group1,median_group2,fold_change,n_group1,n_group2,excluded
AMDHD2,2598.0,0.915788461667442,,False,-0.0732653613010994,-0.0164324305309852,0.0,59,89,False
AMFR,2377.5,0.3324023511825779,,False,-0.0077954761843324,-0.0038103349024367,0.0,59,89,False
AMIGO1,2133.0,0.05400182446164344,,False,-0.2824303164203492,0.0803244932708196,35.736703133962976,59,89,False
AMIGO2,2292.0,0.19218902666806637,,False,-0.0744528014826487,-0.018187388162914,0.0,59,89,False
AMN,2618.0,0.9781294257672235,,False,-0.0767736682018879,-0.0425504952042721,0.0,59,89,False
AMOT,2322.0,0.23536951681318607,,False,-0.0067771320894186,0.1645571208108608,36.81409167691112,59,89,False
AMOTL2,2206.5,0.1012184547622605,,False,-0.0673224886629092,0.0005740109451062,28.56802364727645,59,89,False
AMPD3,2151.0,0.06340675591720848,,False,-0.3100101248501902,0.0413167625567694,34.757949473002455,59,89,False
AMY1A_AMY1B_AMY1C,2616.0,0.9718829900233396,,False,0.0389528507336855,0.0106164063871098,-1.8896422014431518,59,89,False
AMY2A,2897.0,0.28854514108546836,,False,0.0453589400008743,-0.058415115277572,-34.894640392588485,59,89,False
AMY2B,2958.0,0.19352791530403157,,False,0.0511251830383552,-0.0645404376246792,-35.07018675890957,59,89,False
ANG,2384.5,0.34625809273822594,,False,0.0183716798694309,-0.0031661124766346,-33.577193713381895,59,89,False
ANGPT1,2210.5,0.10452319088843627,,False,-0.4584130865663859,-0.3414928515436267,0.0,59,89,False
ANGPT2,2913.5,0.2601914846839434,,False,-0.0240090665350908,-0.0856776173423054,0.0,59,89,False
ANGPTL1,2306.0,0.21155492330687253,,False,0.0070746564041185,0.0287357534751132,2.0329678424877566,59,89,False
ANGPTL2,2471.5,0.5477378617781307,,False,0.0310822917532793,0.0569825881571983,0.8874442926481246,59,89,False
ANGPTL3,1771.5,0.0008300573061481999,,False,-0.1680804323174123,0.104352035813935,36.126391918146396,59,89,False
ANGPTL4,2260.5,0.15343743719603703,,False,-0.0089152909103221,0.089354809433776,35.89496795136298,59,89,False
ANK2,2784.0,0.5360638354790697,,False,-0.0677685020030809,-0.0003583170853576,0.0,59,89,False
ANKMY2,1586.0,4.7207113873210487e-05,,False,-0.4033494116247673,0.5773056579769692,38.840043609419865,59,89,False
ANKRA2,3102.5,0.06093994830844483,,False,0.1808864238491123,-0.4687819506999235,-36.95891487947156,59,89,False
ANKRD54,1936.0,0.006968696607583125,,False,-0.3638430579305908,-0.03294795574425,0.0,59,89,False
ANP32C,2641.0,0.9531555578580498,,False,-0.0221356207176446,0.0324469068186698,34.404849387191256,59,89,False
ANPEP,2300.0,0.20308810601441696,,False,-0.1006784935107676,-0.0458312167630575,0.0,59,89,False
ANXA1,2013.0,0.01653991839525885,,False,-0.0576845321662502,0.0318235163499365,34.37654883849443,59,89,False
ANXA10,2615.0,0.9687603948226862,,False,0.0035897713731789,-0.0310000675051337,-31.214273702928363,59,89,False
ANXA11,2375.0,0.32754233612715955,,False,0.0288672710792445,0.0311394603345914,0.11044924313466813,59,89,False
ANXA2,1910.0,0.005107761542645383,,False,-0.2279632641079705,-0.0234473480960223,0.0,59,89,False
ANXA3,1334.0,4.2825479977388787e-07,,False,-0.4714023265304811,0.1775470743085516,36.93032809923327,59,89,False
ANXA4,1623.0,8.704106365585202e-05,,False,-0.2566263076600082,0.0609330369281006,35.32831297035086,59,89,False
ANXA5,2557.0,0.7900014554806702,,False,-0.0645966912906569,-0.0295663455736528,0.0,59,89,False
AOC1,2111.0,0.044116273814599496,,False,-0.0851922479345582,0.1555365190977402,36.72816290055393,59,89,False
AOC3,2542.0,0.7451402813290997,,False,-0.0651535650182764,-0.0241655163033108,0.0,59,89,False
