Fitbit_Metric,Outcome,N,Model_Family,Link_Function,Extreme_Outliers,Converged,Pseudo_R_Squared,coef_Intercept,coef_C(race)[T.white],coef_C(infant_sex)[T.m],coef_C(smoking)[T.quit],coef_C(smoking)[T.yes],coef_X_Metric,coef_prepregnancy_bmi_self_or_record,coef_parity,p_Intercept,p_C(race)[T.white],p_C(infant_sex)[T.m],p_C(smoking)[T.quit],p_C(smoking)[T.yes],p_X_Metric,p_prepregnancy_bmi_self_or_record,p_parity,coef_maternal_age,p_maternal_age
activities_summary_caloriesout,apgar_5,7028,Gamma,Log,False,True,0.12672548490943036,2.1436370788431507,0.11216618477272741,-0.07098427756212564,0.007771682971607023,0.06481970411542488,3.293665123034655e-05,-0.005099925579519776,-0.009115006485666995,0.0,7.442466969154613e-144,5.0857245576116415e-83,0.07699653772524621,7.523203049737065e-27,8.810108386630537e-20,5.336325920142808e-82,1.203737860253156e-11,0.0009566651672789859,0.0001354737123089129
activities_summary_caloriesout,nicu_days,7028,Gamma,Log,True,True,0.15460894590178864,0.5231378811318826,0.15856005385177768,-0.25224750765489007,-0.04478479341879692,-0.10396534390993828,-7.701484465076776e-05,-0.0037262465396598844,-0.008565496447198546,1.6455884756348977e-17,1.3619915002520242e-18,1.4879082020306741e-18,3.7417258392627165e-15,8.139335212725012e-18,1.0514989399286029e-08,1.1356333775507415e-06,1.1750710857758663e-07,-0.0012002698259753178,0.01171393534404807
activities_summary_fairlyactiveminutes,maternal_age,7028,Gamma,Log,False,True,0.09747541004039806,3.5169596784636976,-0.03362485067417738,0.11283534833542772,0.022809098671569154,0.047551915369634844,-0.0003642966713331169,-0.003259874247716731,-0.0214973541592375,0.0,3.891584770560436e-08,4.110241987138831e-116,0.0001977479017507213,1.5530794603349737e-08,0.0001700737428797336,1.9696578208547438e-25,3.0629880461303556e-31,,
activities_summary_fairlyactiveminutes,weight_(kg),7028,Gamma,Log,True,True,0.8224758261910543,3.7997720373799995,0.05520302472039973,0.019789449814929444,0.043816120994732304,-0.05133870924327326,-0.0001526528149979108,0.022047585512483793,0.011348272672917666,0.0,2.0115203604125053e-81,5.407419765496311e-18,4.744090489329037e-34,1.1730846219714893e-20,0.0004247124906275421,0.0,6.997746339924182e-32,-0.0008171034566200891,7.548265814813537e-13
activities_summary_fairlyactiveminutes,prepregnancy_weight_self_or_record,6935,Gamma,Log,True,True,0.9086548773967932,3.528362489483966,0.03419341144615766,0.03616113138627425,0.029186016157621755,-0.012982956374289149,8.300468786596377e-05,0.0282552858198472,-0.005998337055627527,0.0,1.3234168361797453e-72,6.610210996223999e-83,1.687930130734591e-33,0.0004872093034335006,0.0265237347792007,0.0,2.6061415406761746e-13,-0.001986199878495615,1.67843479582554e-68
activities_summary_fairlyactiveminutes,prepregnancy_bmi_self_or_record,7028,Gamma,Log,True,True,0.19385584142316858,3.405514480061359,0.1684383900551248,-0.09208736764811666,0.14136130360962879,0.03341064469774099,0.0009719317887186148,,0.008467267606620954,0.0,6.296633954236809e-130,2.957029084027921e-40,1.0057568470446638e-108,0.08258411694904454,8.67883854457422e-25,,0.0002206243763044473,-0.0045340011503155935,7.616692794524515e-37
activities_summary_fairlyactiveminutes,gravida,7028,Gamma,Log,False,True,0.1776255105524559,-0.3510937033670541,0.247975332018861,-0.08988113317358248,0.15527953664824354,0.3938633059278611,-0.0014251317744781778,0.008752438515298071,0.007840476881761205,9.209031918513429e-21,2.4646207882356584e-63,3.2287954119610735e-13,7.317973304617198e-26,6.149293626851599e-84,9.93725312717614e-10,8.337310352711703e-31,0.08169990755063872,0.021309679149647133,1.7949510159989622e-144
activities_summary_fairlyactiveminutes,parity,7028,Gamma,Log,False,True,0.08544133568947554,0.5704842758573475,-0.06337904463663913,0.2040732864073025,0.2692937901146152,0.29635104752643104,-0.0027838787405584644,0.00925668736938874,,2.4902036785062186e-24,0.004959559718351955,8.965369530796963e-28,2.060085718505884e-33,5.681868518381659e-22,4.651105326547158e-15,1.3163675766599014e-15,,-0.017768021596244403,2.41362226844272e-45
activities_summary_fairlyactiveminutes,gest_age_del,7028,Gamma,Log,False,True,0.15000469921228088,3.702718994528019,0.02926028957049122,0.02041905901786874,0.011571640652365944,0.03386908649716607,-4.181584443366419e-05,-0.0016594935645327367,-0.008633245523472947,0.0,3.867263778086978e-66,1.2126631681755413e-46,1.1140511595348978e-11,2.0006681885493805e-47,0.12025366768748262,3.6215833007820156e-80,5.711056776937152e-62,-0.0014135794707163158,5.352271275726032e-49
activities_summary_fairlyactiveminutes,birthweight,7028,Gamma,Log,False,True,0.1847630521087611,7.764900568746712,0.16365172954148813,0.09492685998655938,-0.12017102653522027,0.029826109920929107,-0.0006054365708941927,0.0059264145140132335,-0.024533011276329182,0.0,4.5361935426842936e-125,3.2919894508558946e-61,2.8622968638969105e-68,0.0016109495295494216,2.5539025515087716e-08,4.4461773548018297e-63,1.477399846179232e-31,-0.0026783321054372512,5.138400080599605e-12
