| independent_var                                                                     | dependent_var                           |         rho |     p_value |   sample_size_N |      FDR |
|                                                                                     | apgar_5                                 |  0.161646   | 0.353563    |              35 | 0.99086  |
|                                                                                     | nicu_days                               |  0.18679    | 0.282634    |              35 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.101885   | 0.560304    |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.182818   | 0.293177    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.140517   | 0.420748    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               | -0.0476799  | 0.785631    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              |  0.135847   | 0.436503    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition | -0.0853151  | 0.626052    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.0609394  | 0.728026    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 |  0.00705294 | 0.967925    |              35 | 0.998214 |
| Early Second Trimester_activities_-_summary_-_marginalcalories                      | birthweight                             |  0.0413223  | 0.813675    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.123573   | 0.479419    |              35 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.0849045  | 0.627721    |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.23157    | 0.180731    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.0702584  | 0.68838     |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              | -0.118866   | 0.496441    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition |  0.0365636  | 0.834818    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.0487515  | 0.780929    |              35 | 0.99086  |
|                                                                                     | nicu_days                               | -0.0169809  | 0.92287     |              35 | 0.994534 |
|                                                                                     | increased_syncytial_knots               |  0.02384    | 0.891872    |              35 | 0.994534 |
|                                                                                     | gest_age_del                            | -0.00364452 | 0.983423    |              35 | 1        |
|                                                                                     | apgar_5                                 | -0.00431498 | 0.980373    |              35 | 1        |
| Early Second Trimester_activities_-_summary_-_sedentaryminutes                      | gest_age_del                            | -0.228063   | 0.18761     |              35 | 0.99086  |
|                                                                                     | birthweight                             | -0.242891   | 0.159744    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.15972    | 0.359404    |              35 | 0.99086  |
|                                                                                     | apgar_5                                 | -0.227366   | 0.188999    |              35 | 0.99086  |
|                                                                                     | nicu_days                               |  0.0849045  | 0.627721    |              35 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.254713   | 0.139767    |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse | -0.219382   | 0.205428    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          |  0.169791   | 0.3295      |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               |  0.10132    | 0.562494    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              |  0.0509427  | 0.771339    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition | -0.182818   | 0.293177    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            | -0.292509   | 0.0881607   |              35 | 0.99086  |
| Early Second Trimester_activities_-_summary_-_steps                                 | gest_age_del                            |  0.226521   | 0.190693    |              35 | 0.99086  |
|                                                                                     | birthweight                             |  0.180277   | 0.300052    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.048489   | 0.78208     |              35 | 0.99086  |
|                                                                                     | apgar_5                                 |  0.115011   | 0.510608    |              35 | 0.99086  |
|                                                                                     | nicu_days                               |  0.0849045  | 0.627721    |              35 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.0679236  | 0.698241    |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.182818   | 0.293177    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.111242   | 0.524648    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.280321   | 0.102877    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               | -0.01788    | 0.9188      |              35 | 0.994534 |
|                                                                                     | delayed_villous_maturation              |  0.0169809  | 0.92287     |              35 | 0.994534 |
|                                                                                     | increased_perivillous_fibrin_deposition | -0.0121879  | 0.944601    |              35 | 0.994534 |
| Early Second Trimester_activities_-_summary_-_totaldistances                        | gest_age_del                            |  0.256939   | 0.136222    |              35 | 0.99086  |
|                                                                                     | birthweight                             |  0.252136   | 0.143957    |              35 | 0.99086  |
|                                                                                     | apgar_5                                 |  0.13559    | 0.43738     |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.121879   | 0.485512    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.20492    | 0.237651    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               | -0.11324    | 0.517183    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              |  0.0849045  | 0.627721    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition | -0.0609394  | 0.728026    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.292509   | 0.0881607   |              35 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.0169809  | 0.92287     |              35 | 0.994534 |
|                                                                                     | apgar_1                                 |  0.00146936 | 0.993316    |              35 | 1        |
|                                                                                     | nicu_days                               |  0          | 1           |              35 | 1        |
| Early Second Trimester_activities_-_summary_-_veryactiveminutes                     | gest_age_del                            |  0.112077   | 0.521521    |              35 | 0.99086  |
|                                                                                     | birthweight                             |  0.106252   | 0.543527    |              35 | 0.99086  |
|                                                                                     | nicu_days                               | -0.203914   | 0.240014    |              35 | 0.99086  |
